firstName,LastName,email,major
Aaron,Keen,,Computer Science
Abraham,Shani,,Business
Adam,Benshea,,Religious Studies
Adam,Bordeman,,Business
Adam,Groves,,Chemistry
Adam,Mair,,Mathematics
Adam,Werner,,Economics
Adrienne,Greve,,City and Regional Planning
Ahmad,Nafisi,,Electrical Engineering
Alan,Kiste,,Chemistry
Alberto,Jimenez,,Mathematics
Aleksandra,Kristo,,Food Science and Nutrition
Aleksandra,Wydzga,,Soil Science
Alex,Dekhtyar,,Computer Science
Alfonso,Canella,,Business
Alfredo,Sanchez,,Physics
Ali,Banadaki,,Electrical Engineering
Ali,Shaban,,Electrical Engineering
Alicia,Moretti,,English
Alison,Preston,,English
Aaron,Keen,,Computer Science
Abraham,Shani,,Business
Adam,Benshea,,Religious Studies
Adam,Bordeman,,Business
Adam,Groves,,Chemistry
Adam,Mair,,Mathematics
Adam,Werner,,Economics
Adrienne,Greve,,City and Regional Planning
Ahmad,Nafisi,,Electrical Engineering
Alan,Kiste,,Chemistry
Alberto,Jimenez,,Mathematics
Aleksandra,Kristo,,Food Science and Nutrition
Aleksandra,Wydzga,,Soil Science
Alex,Dekhtyar,,Computer Science
Alfonso,Canella,,Business
Alfredo,Sanchez,,Physics
Ali,Banadaki,,Electrical Engineering
Ali,Shaban,,Electrical Engineering
Alicia,Moretti,,English
Alison,Preston,,English
Allan,Rossman,,Statistics
Allen,Estes,,Architectural Engineering
Allen,Settle,,Political Science
Almont,Pawlowski,,Electrical Engineering
Alpen,Razi,,Ethnic Studies
Alyson,Mclamore,,Music
Amelia,Andrews,,Political Science
Amelia,Marini,,English
Amelie,Schinck,,Mathematics
Amineh,Aghabali,,Chemistry
Amy,Howes,,Biology
Amy,Lammert,,Dairy Science
Amy,Ward,,Communication Studies
Amy,Wiley,,English
Anahid,Behrouzi,,Architectural Engineering
Analise,Sabbag,,Statistics
Andrea,Terry,,Communication Studies
Andrew,Banghart,,English
Andrew,Carmichael,,Physics
Andrew,Clough,,Physics
Andrew,Danowitz,,Computer Engineering
Andrew,Davol,,Mechanical Engineering
Andrew,Fricker,,Geography
Andrew,Guyader,,Architectural Engineering
Andrew,Kean,,Mechanical Engineering
Andrew,Maness,,English
Andrew,Mcmahan,,Music
Andrew,Morris,,History
Andrew,Schaffner,,Statistics
Andrew,Silva,,Science and Mathematics
Andrew,Douglas,,Physics
Angela,Bracco,,Architecture
Angelo,Gallardo,,Electrical Engineering
Anika,Leithner,,Political Science
Anna,Kopcrak,,Mathematics
Anne,Regan,,English
Anne,Reid,,History
Anthony,Buffa,,Physics
Anthony,Mendes,,Mathematics
Anthony,Randazzo,,Industrial Technology and Packaging
Anton,Kaul,,Mathematics
Antonio,Barata,,Music
Antonio,Garcia,,Physics
Antonio,Prado,,Journalism
Anuraj,Dhilon,,Communication Studies
Anya,Goodman,,Chemistry
Aric,Shafran,,Economics
Arlene,Grant-holcomb,,Food Science and Nutrition
Arthur,Maccarley,,Electrical Engineering
Ashley,Greco,,Communication Studies
Ashley,Leitzell,,Mechanical Engineering
Ashraf,Elbarbary,,Mechanical Engineering
Asit,Rairkar,,Electrical Engineering
Assal,Hisham,,Computer Science
Astrid,Reeves,,Landscape Architecture
Aydin,Nazmi,,Food Science and Nutrition
Barry,Floyd,,Business
Barry,Vanderkelen,,Business
Barry,Williams,,Architecture
Beate,Bischopinck,,City and Regional Planning
Beena,Khurana,,Business
Ben,Lutz,,Mechanical Engineering
Benjamin,Alexander,,Business
Benjamin,Funston-timms,,Social Sciences
Benjamin,Hoover,,Agricultural and Environmental Plant Sciences
Benjamin,Richert,,Mathematics
Bernard,Duffy,,Communication Studies
Beth,Chance,,Statistics
Bethany,Conway,,Communication Studies
Bill,Fitzhenry,,English
Bill,Foote,,Computer Science
Bill,Hesselgrave,,Mathematics
Bill,Lindsay,,Economics
Bill,Loving,,Journalism
Bill,Siembieda,,City and Regional Planning
Bing,Anderson,,Business
Blair,London,,Materials Engineering
Bo,Liu,,Bioresource and Agricultural Engineering
Brad,Campbell,,English
Bradley,Moran,,Chemistry
Brady,Teufel,,Journalism
Brenda,Helmbrecht,,English
Brennan,Davis,,Business
Brent,Freeby,,Architecture
Brent,Nuttall,,Architectural Engineering
Brian,Ayash,,Business
Brian,Bates,,English
Brian,Beaton,,Liberal Studies
Brian,Granger,,Physics
Brian,Jones,,Mathematics
Brian,Lawler,,Graphic Communication
Brian,Osborn,,Architecture
Brian,Pompeii,,Social Sciences
Brian,Self,,Mechanical Engineering
Brian,Tietje,,Business
Bridget,Benson,,Computer Engineering
Bruce,Debruhl,,Computer Science
Bruce,Greenbaum,,Business
Bruce,Wright,,Aerospace Engineering
Bruno,Dasilva,,Computer Science
Bryan,Mealy,,Computer Engineering
Bryce,Jenkin,,Mathematics
Bwalya,Malama,,Soil Science
Caixing,Gu,,Mathematics
Caleb,Miller,,Mathematics
Calvin,Stevens,,Business
Cameron,Jones,,History
Carlos,Flores,,Economics
Carmen,Trudell,,Architecture
Carol,Curiel,,English
Carol,Janssen,,Business
Carol,Littlefield-halfman,,Liberal Studies
Carole,Simard,,Mathematics
Carolyn,Niner,,Business
Casey,Benito,,Architecture
Cassandra,Carlson,,Communication Studies
Catherine,Waitinas,,English
Cesar,Bustamante,,Landscape Architecture
Chad,Immoos,,Chemistry
Chance,Hoellwarth,,Physics
Charles,Birdsong,,Mechanical Engineering
Charles,Bland,,Electrical Engineering
Charles,Camp,,Mathematics
Charles,Miller,,Business
Charlotte,Decock,,Soil Science
Charmaine,Farber,,Graphic Communication
Chelsea,Milbourne,,English
Chi,Yeung,,Dairy Science
Chris,Carr,,Business
Chris,Clark,,City and Regional Planning
Chris,Skiles,,Communication Studies
Chris,Wright,,Agribusiness
Chris,Yip,,Architecture
Christian,Anderson,,German
Christiane,Schroeter,,Agribusiness
Christina,Abel,,Chemistry
Christina,Firpo,,History
Christine,Ghent,,Materials Engineering
Christine,O'hara,,Landscape Architecture
Christine,Shea,,Communication Studies
Christopher,Appel,,Soil Science
Christopher,Cloos,,Philosophy
Christopher,Culbreath,,Physics
Christopher,hartog,,Political Science
Christopher,Hayter,,English
Christopher,Lupo,,Computer Engineering
Christopher,Siu,,Computer Science
Christopher,Woodruff,,Music
Chrysanthos,Kyriakides,,Physics
Claire,Battista,,Economics
Clare,Olsen,,Architecture
Clarito,Aradanas,,Social Sciences
Clark,Turner,,Computer Science
Clay,Mckell,,Electrical Engineering
Clint,Hahlbeck,,Mathematics
Clint,Staley,,Computer Science
Cole,Mcdaniel,,Architectural Engineering
Coleen,Carrigan,,Social Sciences
Colleen,Duffy,,Business
Colleen,Kirk,,Mathematics
Colleen,Marlow,,Physics
Colleen,Twomey,,Graphic Communication
Corey,White,,Economics
Corinne,Kohlen,,Food Science and Nutrition
Cornelius,Nuworsoo,,City and Regional Planning
Courtney,Brogno,,English
Craig,Arceneaux,,Political Science
Craig,Baltimore,,Architectural Engineering
Craig,Russell,,Music
Cristina,Connolly,,Agribusiness
Cristopher,Pascual,,Mechanical Engineering
Dale,Dolan,,Electrical Engineering
Dan,Banfield,,Business
Dan,Villegas,,Economics
Dan,Waldorf,,Industrial and Manufacturing Engineering
Dana,Paquin,,Mathematics
Daniel,Bercovici,,Chemistry
Daniel,Franchi,,Industrial and Manufacturing Engineering
Daniel,Kauffman,,Computer Science
Daniel,Malone,,Mathematics
Daniel,Nash,,Mathematics
Daniel,Peterson,,Animal Science
Daniel,Seiver,,Economics
Daniel,Smith,,English
Danielle,Champney,,Mathematics
Daria,Matza,,Journalism
Darin,Bennett,,Animal Science
David,Arrivee,,Music
David,Askay,,Communication Studies
David,Braun,,Electrical Engineering
David,Clague,,Biomedical Engineering
David,Gibbs,,Materials Engineering
David,Hennessee,,English
David,Kann,,English
David,Kocsis,,Business
David,Maber,,Business
David,Marshall,,Aerospace Engineering
David,Mitchell,,Physics
David,Niebuhr,,Materials Engineering
David,Parkinson,,Computer Science
David,Retz,,Electrical Engineering
David,Vagnoni,,Dairy Science
David,Watts,,Landscape Architecture
David,Zigler,,Chemistry
David,Zoller,,Philosophy
Dawn,Janke,,English
Dawn,Neill,,Social Sciences
Dean,Arakaki,,Electrical Engineering
Debora,Schwartz,,English
Deborah,Wilhelm,,English
Deif,Ahmed,,Aerospace Engineering
Dekhtyar,Alexander,,Computer Science
Denise,Isom,,Ethnic Studies
Dennis,Derickson,,Electrical Engineering
Dennis,O'brien,,Statistics
Dennis,Sun,,Statistics
Dhalia,Hafez,,Architectural Engineering
Diana,Stanton,,Dance
Dianne,Deturris,,Aerospace Engineering
Dina,Vees,,Graphic Communication
Dominique,Bredeson,,Communication Studies
Don,Choi,,Architecture
Don,Clegg,,Kinesiology
Don,Rawlings,,Mathematics
Don,Stewart,,Theatre
Donald,Ryujin,,Psychology
Dongyub,Ryu,,Computer Science
Donna,Templeton,,Graphic Communication
Doris,Derelian,,Food Science and Nutrition
Doug,Cerf,,Business
Douglas,Keesey,,English
Douglas,Sawyer,,Agribusiness
Dwight,Brown,,Philosophy
Dylan,Retsej,,Mathematics
Dylan,Retsek,,Mathematics
Edmond,Saliklis,,Architectural Engineering
Eduardo,Zambrano,,Economics
Edward,Himelblau,,Biology
Eema,Ligma,,Agricultural Communication
Eileen,Rossman,,Mechanical Engineering
Elbert,Speidel,,Construction Management
Eleanor,Helms,,Philosophy
Elena,Keeling,,Biology
Elisabeth,Deswart,,Food Science and Nutrition
Elizabeth,Adan,,Art
Elizabeth,Barrett,,Child Development
Elizabeth,Demsetz,,Physics
Elizabeth,Lamorre,,Ethnic Studies
Elizabeth,Reynolds,,Animal Science
Elizabeth,Sperow,,Business
Elizabeth,Will,,Soil Science
Elsa,Medina,,Mathematics
Elvira,Pulitano,,Ethnic Studies
Emily,Bockmon,,Chemistry
Emily,Hamilton,,Mathematics
Emily,Neal,,Biology
Emily,Taylor,,Biology
Emily,White,,Architecture
Emma,Levine,,Music
Emmit,Evans,,Political Science
Eric,Brussel,,Mathematics
Eric,Fisher,,Economics
Eric,Jones,,Chemistry
Eric,Mehiel,,Aerospace Engineering
Eric,Noel,,Science and Mathematics
Eric,Pulse,,Industrial and Manufacturing Engineering
Erik,Sapper,,Chemistry
Erik,Slayter,,Business
Erin,Smith,,English
Erin,Martin-elston,,English
Erin,Pearse,,Mathematics
Eriq,Augustine,,Computer Science
Erma,Stauffer,,Communication Studies
Fan,Yang,,Mathematics
Fariha,Nasir,,Physics
Faysal,Kolkailah,,Aerospace Engineering
Fernando,chillon,,Animal Science
Foaad,Khosmood,,Computer Science
Frances,Mayer,,Education
Francisco,Fernflores,,Philosophy
Frank,Nolan,,Communication Studies
Frank,Owen,,Mechanical Engineering
Franklin,Gaudi,,Bioresource and Agricultural Engineering
Franz,Kurfess,,Computer Science
Fred,Abler,,Architecture
G.w.,Bates,,Bioresource and Agricultural Engineering
Gabriel,Kaprielian,,Architecture
Garland,Durham,,Business
Gary,Hughes,,Statistics
Gary,Perks,,Electrical Engineering
George,Cotkin,,History
George,Lewis,,Mathematics
George,Taylor,,Computer Science
Gita,Kolluru,,Biology
Glen,Gillen,,Physics
Glen,Starkey,,English
Glen,Thorncroft,,Mechanical Engineering
Gordon,Rees,,Soil Science
Goro,Kato,,Mathematics
Grace,Goschke,,Biology
Grace,Neff,,Chemistry
Grace,Yeh,,Ethnic Studies
Graham,Archer,,Architectural Engineering
Grant,Trexler,,Business
Gregg,Erickson,,Business
Gregory,Bohr,,Social Sciences
Gregory,Domber,,History
Gregory,Schwartz,,Bioresource and Agricultural Engineering
Gregory,Scott,,Chemistry
Hajera,Ghori,,English
Hans,Mayer,,Mechanical Engineering
Haoyan,Chi,,Business
Harvey,Greenwald,,Mathematics
Hasan,Palandoken,,Chemistry
Hasmik,Gharibyan,,Computer Science
Heather,Curran,,Biology
Heather,Smith,,Statistics
Heidi,Keas,,Mathematics
Hemalata,Dandekar,,City and Regional Planning
Hemanth,Porumamilla,,Mechanical Engineering
Herbert,Hunt,,Business
Hilary,Jacks,,Physics
Hilary,Soldati,,Economics
Hiren,Trada,,Electrical Engineering
Hong,Hoang,,Business
Howard,Weisenthal,,Architecture
Humberto,Norman,,Architecture
Hunter,Glanz,,Statistics
Ian,Johnson,,Aerospace Engineering
Ian,Mckay,,Philosophy
Ignatios,Vakalis,,Computer Science
Ike,Kang,,Animal Science
Immanuel,Williams,,Statistics
Inne,Choi,,Social Sciences
Irene,Humer,,Computer Science
